index,x,y
159,-2.2649999787658452,-3.1749999199062593
160,-2.214999978020787,-3.1249999191612012
161,-2.214999978020787,-3.074999918416143
162,-2.164999977275729,-3.024999917671085
163,-2.164999977275729,-2.974999916926027
164,-2.114999976530671,-2.924999916180969
165,-2.114999976530671,-2.874999915435911
166,-2.064999975785613,-2.824999914690853
167,-2.014999975040555,-2.774999913945795
168,-2.014999975040555,-2.7249999132007368
169,-1.9649999742954969,-2.6749999124556787
170,-1.9649999742954969,-2.6249999117106206
171,-1.9149999735504388,-2.5749999109655626
172,-1.9149999735504388,-2.5249999102205045
173,-1.8649999728053808,-2.4749999094754465
174,-1.8649999728053808,-2.4249999087303884
175,-1.8149999720603227,-2.3749999079853303
176,-1.7649999713152646,-2.3249999072402723
177,-1.7649999713152646,-2.274999906495214
178,-1.7149999705702066,-2.224999905750156
179,-1.7149999705702066,-2.174999905005098
180,-1.6649999698251485,-2.12499990426004
181,-1.6649999698251485,-2.074999903514982
182,-1.6149999690800905,-2.024999902769924
183,-1.6149999690800905,-1.9749999020248659
184,-1.5649999683350324,-1.9249999012798078
185,-1.5649999683350324,-1.8749999005347497
186,-1.5649999683350324,-1.8249998997896917
187,-1.5649999683350324,-1.7749998990446336
188,-1.5649999683350324,-1.7249998982995756
189,-1.5649999683350324,-1.6749998975545175
190,-1.5649999683350324,-1.6249998968094594
191,-1.5649999683350324,-1.5749998960644014
192,-1.5649999683350324,-1.5249998953193433
193,-1.5649999683350324,-1.4749998945742853
194,-1.5649999683350324,-1.4249998938292272
195,-1.5649999683350324,-1.3749998930841691
196,-1.5649999683350324,-1.324999892339111
197,-1.5649999683350324,-1.274999891594053
198,-1.5649999683350324,-1.224999890848995
199,-1.5649999683350324,-1.174999890103937
200,-1.5649999683350324,-1.1249998893588788
201,-1.5649999683350324,-1.0749998886138208
202,-1.5649999683350324,-1.0249998878687627
203,-1.5649999683350324,-0.9749998871237047
204,-1.5649999683350324,-0.9249998863786466
205,-1.5649999683350324,-0.8749998856335885
206,-1.5649999683350324,-0.8249998848885305
207,-1.5649999683350324,-0.7749998841434724
208,-1.5649999683350324,-0.7249998833984144
209,-1.5649999683350324,-0.6749998826533563
210,-1.5649999683350324,-0.6249998819082982
211,-1.5649999683350324,-0.5749998811632402
212,-1.5649999683350324,-0.5249998804181821
213,-1.5649999683350324,-0.47499987967312407
